Category,Nutrient Data Bank Number,Data.Alpha Carotene,Data.Beta Carotene,Data.Beta Cryptoxanthin,Data.Carbohydrate,Data.Cholesterol,Data.Choline,Data.Fiber,Data.Lutein and Zeaxanthin,Data.Lycopene,Data.Niacin,Data.Protein,Data.Retinol,Data.Riboflavin,Data.Selenium,Data.Sugar Total,Data.Thiamin,Data.Water,Data.Fat.Monosaturated Fat,Data.Fat.Polysaturated Fat,Data.Fat.Saturated Fat,Data.Fat.Total Lipid,Data.Major Minerals.Calcium,Data.Major Minerals.Copper,Data.Major Minerals.Iron,Data.Major Minerals.Magnesium,Data.Major Minerals.Phosphorus,Data.Major Minerals.Potassium,Data.Major Minerals.Sodium,Data.Major Minerals.Zinc,Data.Vitamins.Vitamin A - RAE,Data.Vitamins.Vitamin B12,Data.Vitamins.Vitamin B6,Data.Vitamins.Vitamin C,Data.Vitamins.Vitamin E,Data.Vitamins.Vitamin K
Butter,1001,0,158,0,0.06,215,18.8,0,0,0,0.042,0.85,671,0.034,1,0.06,0.005,16.17,21.021,3.043,51.368,81.11,24,0,0.02,2,24,24,643,0.09,684,0.17,0.003,0,2.32,7
Butter,1002,1,135,6,0,225,18.8,0,13,0,0.022,0.49,671,0.064,0,0.06,0.007,16.72,19.874,3.331,45.39,78.3,23,0.01,0.05,1,24,41,583,0.05,683,0.07,0.008,0,1.37,4.6
Butter oil,1003,0,193,0,0,256,22.3,0,0,0,0.003,0.28,824,0.005,0,0,0.001,0.24,28.732,3.694,61.924,99.48,4,0.001,0,0,3,5,2,0.01,840,0.01,0.001,0,2.8,8.6
Cheese,1004,0,74,0,2.34,75,15.4,0,0,0,1.016,21.4,192,0.382,14.5,0.5,0.029,42.41,7.778,0.8,18.669,28.74,528,0.04,0.31,23,387,256,1146,2.66,198,1.22,0.166,0,0.25,2.4
Cheese,1005,0,76,0,2.79,94,15.4,0,0,0,0.118,23.24,286,0.351,14.5,0.51,0.014,41.11,8.598,0.784,18.764,29.68,674,0.024,0.43,24,451,136,560,2.6,292,1.26,0.065,0,0.26,2.5
Cheese,1006,0,9,0,0.45,100,15.4,0,0,0,0.38,20.75,173,0.52,14.5,0.45,0.07,48.42,8.013,0.826,17.41,27.68,184,0.019,0.5,20,188,152,629,2.38,174,1.65,0.235,0,0.24,2.3
Cheese,1007,0,12,0,0.46,72,15.4,0,0,0,0.63,19.8,240,0.488,14.5,0.46,0.028,51.8,7.023,0.724,15.259,24.26,388,0.021,0.33,20,347,187,842,2.38,241,1.3,0.227,0,0.21,2
Cheese,1009,0,0,0,2.44,100,16.5,0,0,0,0.052,23.3,316,0.441,28.3,0.33,0.029,36.6,7.44,1.18,19.2,34,707,0.033,0.16,26,458,77,654,3.67,316,1.06,0.069,0,0.75,2.4
Cheese,1011,0,82,0,2.57,95,15.4,0,0,0,0.093,23.76,257,0.375,14.5,0.52,0.015,38.2,9.28,0.953,20.218,32.11,685,0.042,0.76,26,457,127,604,3.07,264,0.83,0.079,0,0.28,2.7
Cheese,1012,0,12,0,3.38,17,18.4,0,0,0,0.099,11.12,36,0.163,9.7,2.67,0.027,79.79,0.778,0.123,1.718,4.3,83,0.029,0.07,8,159,104,315,0.4,37,0.43,0.046,0,0.08,0
Cheese,1014,0,0,0,6.66,7,17.9,0,0,0,0.144,10.34,2,0.226,9.4,1.85,0.023,81.01,0.079,0.003,0.169,0.29,86,0.03,0.15,11,190,137,372,0.47,2,0.46,0.016,0,0.01,0
Cheese,1015,0,0,0,4.31,12,16.3,0,0,0,0.09,11,69,0.234,14.6,4.1,0.02,81.1,0.469,0.072,1.26,2.3,103,0.03,0.13,8,148,120,321,0.61,69,0.42,0.057,0,0.08,0
Cheese,1016,0,3,0,2.72,4,17.5,0,0,0,0.128,12.39,11,0.165,9,2.72,0.021,82.48,0.291,0.031,0.645,1.02,61,0.028,0.14,5,134,86,406,0.38,11,0.63,0.068,0,0.01,0.1
Cheese,1017,1,59,2,5.52,101,26.8,0,7,0,0.091,6.15,303,0.23,8.6,3.76,0.023,52.62,8.907,1.483,20.213,34.44,97,0.018,0.11,9,107,132,314,0.5,308,0.22,0.056,0,0.86,2.1
Cheese,1019,0,3,0,3.88,89,15.4,0,0,0,0.991,14.21,125,0.844,15,0,0.154,55.22,4.623,0.591,13.3,21.49,493,0.032,0.65,19,337,62,1139,2.88,125,1.69,0.424,0,0.18,1.8
Cheese,1020,0,32,0,1.55,116,15.4,0,0,0,0.15,25.6,258,0.204,14.5,1.55,0.021,37.92,8.687,1.654,19.196,31.14,550,0.025,0.23,14,346,64,800,3.5,261,1.68,0.083,0,0.27,2.6
Cheese,1022,0,10,0,2.22,114,15.4,0,0,0,0.063,24.94,164,0.334,14.5,2.22,0.03,41.46,7.747,0.657,17.614,27.44,700,0.036,0.24,29,546,121,819,3.9,165,1.54,0.08,0,0.24,2.3
Cheese,1023,0,33,0,0.36,110,15.4,0,0,0,0.106,29.81,268,0.279,14.5,0.36,0.06,33.19,10.043,1.733,18.913,32.34,1011,0.032,0.17,36,605,81,714,3.9,271,1.6,0.081,0,0.28,2.7
Cheese,1024,0,15,0,0.49,90,15.4,0,0,0,0.158,20.05,339,0.503,14.5,0.49,0.08,48.42,8.606,0.495,16.746,27.25,497,0.021,0.13,21,393,128,800,2.1,340,1.04,0.086,0,0.23,2.3
Cheese,1025,0,78,0,0.68,89,15.4,0,0,0,0.093,24.48,192,0.39,14.5,0.5,0.015,41.01,8.751,0.899,19.066,30.28,746,0.032,0.72,27,444,81,600,3,198,0.83,0.079,0,0.26,2.5
Cheese,1029,0,0,0,4.44,65,13.5,0,0,0,0.101,23.7,203,0.36,26.7,1.81,0.023,47.7,4.65,0.744,11.7,20.4,693,0.035,0.2,27,533,116,699,3.62,203,1.65,0.09,0,0.51,1.3
Cheese,1030,0,13,0,1.12,96,15.4,0,0,0,0.103,23.41,297,0.32,14.5,1.12,0.013,41.77,8.711,0.661,19.113,30.04,717,0.031,0.41,27,468,134,628,2.81,298,1.47,0.056,0,0.26,2.5
Cheese,1032,0,0,0,12.4,87,14.1,0,0,0,0.078,29.6,228,0.345,35,0.07,0.027,22.8,6.4,1.2,15.5,28,884,0.04,0.45,34,634,184,1750,4.33,228,1.35,0.081,0,0.51,1.7
Cheese,1035,0,68,0,2.14,69,15.4,0,0,0,0.156,25.58,230,0.321,14.5,0.56,0.019,40.95,7.393,0.769,17.078,26.62,756,0.026,0.52,28,496,138,727,3.23,236,1.46,0.073,0,0.23,2.2
Cheese,1036,0,0,0,6.86,48,17.5,0,0,0,0.168,7.81,127,0.327,5.5,0.27,0.043,72.9,2.56,0.389,6.97,11,224,0,0.1,19,162,230,105,0.56,127,0.78,0.099,0,0.27,0.6
Cheese,1037,0,20,0,5.14,31,16.3,0,0,0,0.078,11.39,105,0.185,16.7,0.31,0.021,74.41,2.314,0.26,4.927,7.91,272,0.034,0.44,15,183,125,99,1.34,107,0.29,0.02,0,0.07,0.7
Cheese,1040,1,60,2,1.44,93,13.8,0,8,1,0.06,27,287,0.303,30.1,0,0.011,37.6,7.26,1.14,18.2,31,890,0.047,0.13,33,574,71,185,4.37,292,3.02,0.07,0,0.6,1.4
Cheese,1042,0,26,4,5.27,98,19.2,0,16,0,0.095,18,297,0.247,20.4,2.63,0.015,39.6,7.3,1.09,18.1,30.6,866,0.046,0.48,25,540,149,1660,2.42,300,1.45,0.056,0,0.79,3.2
Cheese spread,1048,0,55,0,8.73,55,36.2,0,0,0,0.131,16.41,168,0.431,11.3,7.32,0.048,47.65,6.219,0.624,13.327,21.23,562,0.033,0.33,29,875,242,1625,2.59,173,0.4,0.117,0,0.19,1.8
Cream,1049,0,22,0,4.3,35,18.7,0,0,0,0.109,3.13,95,0.194,3.2,4.13,0.03,80.57,3.32,0.554,7.032,11.5,107,0.009,0.05,10,95,132,61,0.39,97,0.19,0.05,0.9,0.25,1.3
Cream,1050,0,37,0,3.66,59,17.4,0,0,0,0.09,2.96,117,0.19,4.6,3.67,0.023,73.75,4.525,0.789,10.176,19.1,91,0.012,0.05,9,92,136,72,0.32,120,0.14,0.044,0.8,0.12,1.7
Cream,1053,0,72,0,2.84,113,16.8,0,0,0,0.064,2.84,405,0.188,3,2.92,0.02,57.71,9.101,1.57,23.032,36.08,66,0.011,0.1,7,58,95,27,0.24,411,0.16,0.035,0.6,0.92,3.2
Cream,1054,0,43,0,12.49,76,16.8,0,0,0,0.07,3.2,184,0.065,1.4,8,0.037,61.33,6.418,0.825,13.831,22.22,101,0.01,0.05,11,89,147,8,0.37,188,0.29,0.041,0,0.64,1.9
Cream,1056,0,25,1,4.63,59,19.2,0,4,0,0.093,2.44,121,0.168,3.7,3.41,0.02,73.07,4.594,0.8,10.14,19.35,101,0.018,0.07,10,76,125,31,0.33,124,0.21,0.041,0.9,0.38,1.5
Eggnog,1057,0,7,0,8.05,59,52.2,0,54,0,0.105,4.55,58,0.19,4.2,8.05,0.034,82.54,1.302,0.198,2.591,4.19,130,0.013,0.2,19,109,165,54,0.46,59,0.45,0.05,1.5,0.21,0.3
Cheese,1061,0,3,0,10.53,26,38.4,0,0,0,5.56,21.05,55,0.545,14.6,5.26,0.412,65.47,0,0,0,0,789,0.559,0,115,316,393,1316,4.11,56,1.85,0.567,0,0.27,0.2
Cream substitute,1067,0,9,0,11.38,0,0,0,0,0,0,1,0,0,1.1,11.38,0,77.27,7.551,0.027,1.937,9.97,9,0,0.03,0,64,191,67,0.02,1,0,0,0,0.81,2.5
